timestamp,raw_value,attention,label
1644694647.1783457,7,48,0
1644694647.1814928,11,48,0
1644694647.182382,9,48,0
1644694647.183591,10,48,0
1644694647.1866329,16,48,0
1644694647.1887941,8,48,0
1644694647.1897938,-3,48,0
1644694647.1928906,-4,48,0
1644694647.193935,8,48,0
1644694647.196813,23,48,0
1644694647.1977706,28,48,0
1644694647.1999655,25,48,0
1644694647.2028022,25,48,0
1644694647.204031,21,48,0
1644694647.2062988,20,48,0
1644694647.207027,23,48,0
1644694647.2102349,32,48,0
1644694647.2110217,36,48,0
1644694647.2140324,26,48,0
1644694647.215008,12,48,0
1644694647.218001,7,48,0
1644694647.218994,17,48,0
1644694647.2212377,24,48,0
1644694647.222984,22,48,0
1644694647.225018,16,48,0
1644694647.2279735,-2,48,0
1644694647.2289722,-9,48,0
1644694647.231044,2,48,0
1644694647.234038,10,48,0
1644694647.2349544,11,48,0
1644694647.2379448,20,48,0
1644694647.238942,40,48,0
1644694647.240936,56,48,0
1644694647.2429378,65,48,0
1644694647.2449262,74,48,0
1644694647.2459254,82,48,0
1644694647.2489183,72,48,0
1644694647.2499483,67,48,0
1644694647.2529058,69,48,0
1644694647.2539415,74,48,0
1644694647.2559354,74,48,0
1644694647.2588894,74,48,0
1644694647.2599266,76,48,0
1644694647.2628806,73,48,0
1644694647.2648747,65,48,0
1644694647.2659001,65,48,0
1644694647.2678668,67,48,0
1644694647.269886,58,48,0
1644694647.2730794,53,48,0
1644694647.2739048,48,48,0
1644694647.2768528,38,48,0
1644694647.2791827,33,48,0
1644694647.280545,41,48,0
1644694647.2856953,52,48,0
1644694647.2868714,58,48,0
1644694647.2875874,58,48,0
1644694647.2895815,60,48,0
1644694647.2915769,60,48,0
1644694647.2936072,58,48,0
1644694647.295617,60,48,0
1644694647.2967048,68,48,0
1644694647.2976115,68,48,0
1644694647.2998629,55,48,0
1644694647.3006632,51,48,0
1644694647.3039944,54,48,0
1644694647.305365,53,48,0
1644694647.308012,50,48,0
1644694647.31,55,48,0
1644694647.311312,69,48,0
1644694647.3143682,75,48,0
1644694647.3156195,66,48,0
1644694647.3176377,53,48,0
1644694647.319319,67,48,0
1644694647.3213112,84,48,0
1644694647.322309,85,48,0
1644694647.3255198,66,48,0
1644694647.3262985,54,48,0
1644694647.3515606,56,48,0
1644694647.3525608,69,48,0
1644694647.3619072,87,48,0
1644694647.366892,93,48,0
1644694647.366892,82,48,0
1644694647.366892,67,48,0
1644694647.366892,65,48,0
1644694647.3678906,67,48,0
1644694647.3678906,73,48,0
1644694647.3678906,73,48,0
1644694647.3678906,70,48,0
1644694647.3678906,67,48,0
1644694647.3678906,58,48,0
1644694647.3688855,54,48,0
1644694647.3688855,64,48,0
1644694647.3688855,72,48,0
1644694647.3688855,71,48,0
1644694647.3688855,59,48,0
1644694647.3688855,48,48,0
1644694647.3688855,42,48,0
1644694647.369884,42,48,0
1644694647.3739066,42,48,0
1644694647.3749068,40,48,0
1644694647.376865,35,48,0
1644694647.3778582,33,48,0
1644694647.3788984,35,48,0
1644694647.37989,36,48,0
1644694647.3828473,39,48,0
1644694647.3838818,48,48,0
1644694647.3878345,54,48,0
1644694647.3888683,52,48,0
1644694647.3898268,51,48,0
1644694647.390869,60,48,0
1644694647.3948126,59,48,0
1644694647.3948126,43,48,0
1644694647.397805,37,48,0
1644694647.3988276,34,48,0
1644694647.4008236,20,48,0
1644694647.4032402,8,48,0
1644694647.4056566,8,48,0
1644694647.4076102,21,48,0
1644694647.4086032,39,48,0
1644694647.4116192,41,48,0
1644694647.4128518,40,48,0
1644694647.4156656,54,48,0
1644694647.4167073,64,48,0
1644694647.418688,55,48,0
1644694647.419658,50,48,0
1644694647.4229872,56,48,0
1644694647.4236436,66,48,0
1644694647.4266372,68,48,0
1644694647.4286516,57,48,0
1644694647.4296274,42,48,0
1644694647.43287,44,48,0
1644694647.4339166,64,48,0
1644694647.436498,70,48,0
1644694647.4377694,52,48,0
1644694647.4397898,18,48,0
1644694647.4427445,-2,48,0
1644694647.4437397,-2,48,0
1644694647.4464762,9,48,0
1644694647.4475358,11,48,0
1644694647.4504647,1,48,0
1644694647.4517286,-6,48,0
1644694647.4537263,-5,48,0
1644694647.4561493,2,48,0
1644694647.4571538,7,48,0
1644694647.460146,17,48,0
1644694647.4611397,25,48,0
1644694647.4643443,25,48,0
1644694647.4653974,25,48,0
1644694647.4679406,36,48,0
1644694647.4706647,58,48,0
1644694647.471861,83,48,0
1644694647.4735873,85,48,0
1644694647.474592,75,48,0
1644694647.4775774,67,48,0
1644694647.4785476,48,48,0
1644694647.4815586,24,48,0
1644694647.4828086,8,48,0
1644694647.4848132,4,48,0
1644694647.4878078,10,48,0
1644694647.488795,19,48,0
1644694647.492785,21,48,0
1644694647.4937828,24,48,0
1644694647.495837,36,48,0
1644694647.4977756,64,48,0
1644694647.498832,72,48,0
1644694647.501843,58,48,0
1644694647.5031538,50,48,0
1644694647.5057728,44,48,0
1644694647.5057728,40,48,0
1644694647.5089998,53,48,0
1644694647.5099952,67,48,0
1644694647.5130088,55,48,0
1644694647.5139356,40,48,0
1644694647.516175,37,48,0
1644694647.5171766,44,48,0
1644694647.5201705,55,48,0
1644694647.522164,40,48,0
1644694647.5241585,19,48,0
1644694647.5261514,16,48,0
1644694647.5293467,26,48,0
1644694647.5304785,33,48,0
